matrix_size,processes,sequential_time,distributed_time,speedup,efficiency
500,1,0.001983642578125,0.004272937774658203,1.0,1.0
500,2,0.006731986999511719,0.003938198089599609,1.7094079186342173,0.8547039593171086
500,4,0.003751039505004883,0.003931283950805664,0.9541512523500516,0.2385378130875129
500,8,0.002150297164916992,0.009088516235351562,0.23659496327387197,0.029574370409233997
1000,1,0.02176523208618164,0.012494325637817383,1.0,1.0
1000,2,0.014849185943603516,0.020614147186279297,0.7203395711410793,0.36016978557053964
1000,4,0.01564621925354004,0.0210418701171875,0.7435755076142132,0.1858938769035533
1000,8,0.01297903060913086,0.029707908630371094,0.43688806137844693,0.05461100767230587
1001,1,0.026624441146850586,0.013517618179321289,1.0,1.0
1001,2,0.018548011779785156,0.012034416198730469,1.5412473254616055,0.7706236627308027
1001,4,0.014685392379760742,0.01700735092163086,0.8634732385678638,0.21586830964196596
1001,8,0.01204681396484375,0.02606368064880371,0.4622069356653464,0.0577758669581683
2000,1,0.11750626564025879,0.09355401992797852,1.0,1.0
2000,2,0.10420918464660645,0.10670614242553711,0.9765996809352084,0.4882998404676042
2000,4,0.10074067115783691,0.11223602294921875,0.8975787675888791,0.22439469189721978
2000,8,0.09016776084899902,0.14698505401611328,0.613448499594485,0.07668106244931062
4000,1,0.7572157382965088,0.8096978664398193,1.0,1.0
4000,2,0.7184162139892578,0.8050098419189453,0.8924315909936336,0.4462157954968168
4000,4,0.7378504276275635,0.7636330127716064,0.9662369427292502,0.24155923568231255
4000,8,0.7160632610321045,0.8675997257232666,0.8253382750152034,0.10316728437690043
